county,group,model,node_windows,node_window_ratio,MAE,delta_vs_STID_MAE,RMSE,bias,MAE@h3,MAE@h6,MAE@h12
Alameda,future_onset,STID,6005,0.0022250794803577913,12.442495406772004,0.0,22.29094665741283,-2.091244012928612,11.598723096554368,12.428888730230195,13.66740978113443
Alameda,future_onset,STIDAccident,6005,0.0022250794803577913,12.511058391500772,0.06856298472876787,22.27539155731748,-1.9984431809568786,11.717807197610153,12.53647045213349,13.717195625006045
Alameda,future_onset,STIDGatedAccident,6005,0.0022250794803577913,12.359850664928059,-0.08264474184394466,22.116044875858613,-1.8617392283794412,11.53032464432131,12.433842563255624,13.501913559520437
Alameda,history_only,STID,6005,0.0022250794803577913,12.259477005764937,0.0,21.624646457586874,-2.244124743875012,11.681865804915539,12.464347924794561,13.001813812921075
Alameda,history_only,STIDAccident,6005,0.0022250794803577913,12.55270842538996,0.2932314196250232,21.70727950913224,-2.1626929863375333,11.980685912505491,12.774399229324196,13.423589636335636
Alameda,history_only,STIDGatedAccident,6005,0.0022250794803577913,12.162427993079168,-0.09704901268576904,21.365645787043448,-1.8749189422111607,11.614315335011714,12.3997432814748,13.002122184907051
Alameda,ongoing,STID,708,0.0002623407613810685,13.272860226160635,0.0,23.118907150300064,-1.6890335895015745,11.67118847888449,12.984858088830855,14.340612762114581
Alameda,ongoing,STIDAccident,708,0.0002623407613810685,13.44655157654449,0.17369135038385508,22.976978740152806,-1.1072957388477809,11.665142315021459,13.035458698030393,14.765194261775298
Alameda,ongoing,STIDGatedAccident,708,0.0002623407613810685,13.166393463891094,-0.106466762269541,22.87616126560333,-1.3829764896420083,11.764502331830453,12.947769621971947,14.082976944306317
Alameda,post_last_slot,STID,1087,0.0004027745870356235,12.848848757314654,0.0,22.30497606333376,-1.9595893358332281,11.92948017533584,12.848875291535085,13.303398000631564
Alameda,post_last_slot,STIDAccident,1087,0.0004027745870356235,13.098443416753645,0.24959465943899062,22.30225423328567,-1.5281733456930011,12.183952953551758,13.031376298232388,13.889133308507219
Alameda,post_last_slot,STIDGatedAccident,1087,0.0004027745870356235,12.68557666360865,-0.16327209370600393,21.925930961056345,-1.6317591019303672,12.021701373423246,12.653172291806785,13.147121802572551
ContraCosta,future_onset,STID,3671,0.0014288049570307635,14.289930244108339,0.0,26.37771097856272,0.5376571985615419,13.238300131713203,14.430613017402957,15.822356880548508
ContraCosta,future_onset,STIDAccident,3671,0.0014288049570307635,14.314551243077855,0.02462099896951564,26.34891375104336,0.6271882330906955,13.295329122943372,14.393494043344111,15.895656249532298
ContraCosta,future_onset,STIDGatedAccident,3671,0.0014288049570307635,14.366251165993285,0.0763209218849461,26.41520334827809,0.5148861964630534,13.402794035741469,14.430841781938787,15.865757923930085
ContraCosta,history_only,STID,3674,0.001429972599327438,14.082855394852063,0.0,25.123868470221375,-1.0149599760254362,13.061997416682138,14.023700026075108,15.80764687829539
ContraCosta,history_only,STIDAccident,3674,0.001429972599327438,14.542673299815362,0.4598179049633,25.27078572835732,-0.45602292513663023,13.313204141927603,14.535106122169703,16.317932386970092
ContraCosta,history_only,STIDGatedAccident,3674,0.001429972599327438,14.328640422653242,0.24578502780117972,25.532249115486753,-1.4829610201683847,13.221404920827847,14.350720097243233,15.904365862436347
ContraCosta,ongoing,STID,445,0.00017320027400672563,13.601980627105293,0.0,24.497568437912886,0.2553515428297212,13.203382827528758,14.629290256500244,14.061470605376968
ContraCosta,ongoing,STIDAccident,445,0.00017320027400672563,14.638229002493045,1.0362483753877516,25.851716476843258,0.7590003134958636,13.950974469208838,15.302925434112549,15.67088138130972
ContraCosta,ongoing,STIDGatedAccident,445,0.00017320027400672563,13.837926906797355,0.23594627969206172,25.027049903417947,0.04667164019161729,13.400661890231186,14.767734222412109,14.746995012861744
ContraCosta,post_last_slot,STID,664,0.0002584381616639681,14.166630811063264,0.0,26.00176051717878,-0.6931363363774784,13.94429891092794,14.243482805335004,14.915775565834313
ContraCosta,post_last_slot,STIDAccident,664,0.0002584381616639681,15.011666934665925,0.8450361236026609,27.20172633243071,-0.23419549517514385,14.468210453753704,14.829808973229449,16.078946533736648
ContraCosta,post_last_slot,STIDGatedAccident,664,0.0002584381616639681,14.425634117697644,0.25900330663438,26.458295535723344,-1.1547163735816846,14.14892462750415,14.407382719620415,15.129725983092834
LosAngeles,future_onset,STID,31254,0.0034068835311071334,11.944425233665251,0.0,21.36307277889088,-0.716091122804062,11.041428303398094,11.942871200770153,13.33990681982189
LosAngeles,future_onset,STIDAccident,31254,0.0034068835311071334,11.970786060858979,0.026360827193727232,21.398200861637815,-0.28412744629539954,11.086664692661705,11.983799421569783,13.35947566120208
LosAngeles,future_onset,STIDGatedAccident,31254,0.0034068835311071334,11.928009591203889,-0.016415642461362623,21.357595287614952,-0.5357414103598536,11.029333659935215,11.93823441196885,13.294652797387789
LosAngeles,history_only,STID,31217,0.0034028502972602353,12.201169025181319,0.0,23.49407061794395,-0.7025998249485622,11.30282738528495,12.215338948117987,13.561667050057443
LosAngeles,history_only,STIDAccident,31217,0.0034028502972602353,12.307234977657936,0.10606595247661765,23.803780876379403,-0.5472749244712105,11.392021478060354,12.292156916650194,13.720057224999646
LosAngeles,history_only,STIDGatedAccident,31217,0.0034028502972602353,12.246124151814282,0.04495512663296353,23.714044100885182,-0.6525928830286107,11.329693739569747,12.24680806900281,13.631518647668676
LosAngeles,ongoing,STID,3572,0.0003893705757059794,12.530462165526194,0.0,24.805434855464505,-1.227984718112548,11.01692988634362,12.700081877581841,14.58627129007181
LosAngeles,ongoing,STIDAccident,3572,0.0003893705757059794,12.610973806862948,0.08051164133675393,24.821073275287016,-1.1243052155281228,11.124126917727626,12.783664506220184,14.58266476589877
LosAngeles,ongoing,STIDGatedAccident,3572,0.0003893705757059794,12.521883730190488,-0.008578435335705237,24.797807953400092,-1.2197589553119745,11.031973874152358,12.734470632097363,14.466378418412761
LosAngeles,post_last_slot,STID,5628,0.0006134875700093092,12.162037107251882,0.0,23.66364823137763,-1.01242319131621,11.167961712526754,12.102622828680031,13.890064162165649
LosAngeles,post_last_slot,STIDAccident,5628,0.0006134875700093092,12.258225140141,0.0961880328891187,23.72166421675503,-0.8690121639182982,11.247440515542992,12.209407975322272,13.9357417154123
LosAngeles,post_last_slot,STIDGatedAccident,5628,0.0006134875700093092,12.196931583327695,0.034894476075812975,23.74219091720757,-0.9613414193732417,11.201582284968987,12.184109535057605,13.905164906084407
Orange,future_onset,STID,8503,0.001658086658086658,11.35694708767659,0.0,22.000541879919133,-0.29822081915161575,10.2781655920805,11.254533323819384,12.925632931429284
Orange,future_onset,STIDAccident,8503,0.001658086658086658,11.459388838417306,0.10244175074071649,22.09877640153394,-0.029228055751185134,10.40305257833229,11.3524830531868,13.056050010259593
Orange,future_onset,STIDGatedAccident,8503,0.001658086658086658,11.328509177886477,-0.02843790979011196,22.049172884449405,0.048056023336921896,10.254384634629735,11.214173530141942,12.938795778888277
Orange,history_only,STID,8483,0.0016541866541866543,11.20963436526418,0.0,20.55534432288481,-0.6460461438544338,10.489582290421794,11.261719807253046,12.250298307462312
Orange,history_only,STIDAccident,8483,0.0016541866541866543,11.506294054040211,0.29665968877603177,20.781540561371738,-0.1561943048162623,10.624990135795029,11.535076309462726,12.749298576164453
Orange,history_only,STIDGatedAccident,8483,0.0016541866541866543,11.299800459813355,0.09016609454917557,20.704079497010948,-0.4182967989595917,10.444908683203668,11.337842935853086,12.473650714861842
Orange,ongoing,STID,954,0.00018603018603018603,11.391330322368175,0.0,19.86610612488536,-0.5554788155526506,10.342227370147887,11.997043194782085,12.252905814003606
Orange,ongoing,STIDAccident,954,0.00018603018603018603,11.674026327138835,0.2826960047706599,19.77923164900992,0.46962101475055285,10.281168755546018,12.185176457073672,13.0067874266638
Orange,ongoing,STIDGatedAccident,954,0.00018603018603018603,11.389417473754762,-0.0019128486134132316,19.66224115980378,-0.5142993681938381,10.457720117354025,11.851892218803965,12.219172369247364
Orange,post_last_slot,STID,1527,0.0002977652977652978,11.327018730152592,0.0,20.251992924559367,-0.5331290892637842,10.131504342789041,11.598542259124939,12.152778800054323
Orange,post_last_slot,STIDAccident,1527,0.0002977652977652978,11.60823199855988,0.28121326840728855,20.142174657715003,0.17192561224866826,10.203472513184511,11.841059719017165,12.67482248178927
Orange,post_last_slot,STIDGatedAccident,1527,0.0002977652977652978,11.308972299192234,-0.018046430960357185,20.05231781702611,-0.42384787322717266,10.231314244664702,11.502972240219574,12.17802200260148
