county,group,node_windows,STID_MAE,Posthoc_MAE,delta_vs_STID_MAE,STID_RMSE,Posthoc_RMSE,STID_bias,Posthoc_bias,Posthoc_MAE@h3,Posthoc_MAE@h6,Posthoc_MAE@h12
LosAngeles,all_eval,4586890,10.978281021118164,10.981653213500977,0.0033721923828125,20.627788543701172,20.63023567199707,-1.4770853519439697,-1.4804266691207886,10.150497436523438,10.995451927185059,12.252998352050781
LosAngeles,no_event,4557443,10.97046947479248,10.97046947479248,0.0,20.621917724609375,20.621917724609375,-1.4767200946807861,-1.4767200946807861,10.139833450317383,10.983895301818848,12.241168975830078
LosAngeles,history_any,15464,12.17654800415039,13.193108558654785,1.0165605545043945,21.60251235961914,22.28977394104004,-1.5940932035446167,-2.599133014678955,12.264506340026855,13.274429321289062,14.567209243774414
LosAngeles,post_last_slot,2503,12.165534019470215,13.114178657531738,0.9486446380615234,21.219833374023438,21.91347312927246,-1.7641205787658691,-2.4307076930999756,12.48360824584961,12.827250480651855,14.482833862304688
LosAngeles,ongoing,1554,12.79775333404541,13.721853256225586,0.9240999221801758,22.277021408081055,23.076801300048828,-1.8991563320159912,-2.4011244773864746,12.604887008666992,13.460173606872559,15.2467041015625
LosAngeles,high_impact_history_any,3804,22.3290958404541,22.709871292114258,0.38077545166015625,32.941776275634766,33.3831787109375,-3.2603447437286377,-4.662566184997559,20.720041275024414,22.850967407226562,25.506855010986328
LosAngeles,high_impact_post_last,662,21.844755172729492,22.15515899658203,0.31040382385253906,31.62070655822754,32.09470748901367,-3.322746515274048,-4.307876110076904,20.363245010375977,21.480497360229492,24.80360984802246
LosAngeles,impact_drop_history_any,5169,13.82625675201416,14.316096305847168,0.4898395538330078,22.97552490234375,23.229909896850586,2.4247324466705322,1.7973798513412476,13.478456497192383,14.372475624084473,15.65970516204834
LosAngeles,impact_rise_history_any,5529,13.553163528442383,14.199122428894043,0.6459589004516602,23.331953048706055,24.04829978942871,-5.504204750061035,-5.821764945983887,13.039260864257812,14.296941757202148,15.900160789489746
Orange,all_eval,2564100,10.321806907653809,10.323749542236328,0.0019426345825195312,20.092819213867188,20.093719482421875,-1.402442455291748,-1.4040807485580444,9.508636474609375,10.342124938964844,11.569673538208008
Orange,no_event,2556123,10.320501327514648,10.320501327514648,0.0,20.097143173217773,20.097143173217773,-1.403720736503601,-1.403720736503601,9.505424499511719,10.338665008544922,11.566959381103516
Orange,history_any,4201,10.839129447937012,11.982648849487305,1.143519401550293,19.352323532104492,19.892311096191406,-0.838193953037262,-1.7974636554718018,11.232044219970703,12.154727935791016,12.793977737426758
Orange,post_last_slot,684,10.76755428314209,11.863415718078613,1.0958614349365234,19.27285385131836,19.709867477416992,-0.6031547784805298,-1.2780078649520874,10.580056190490723,11.442560195922852,13.19775104522705
Orange,ongoing,423,11.001819610595703,11.974369049072266,0.9725494384765625,19.035015106201172,19.3859920501709,-0.3508789539337158,-1.018550157546997,10.941375732421875,11.788865089416504,12.901230812072754
Orange,high_impact_history_any,1059,21.39962387084961,21.58622169494629,0.1865978240966797,31.006837844848633,30.978588104248047,-0.9144209027290344,-1.6766709089279175,19.95854377746582,21.920255661010742,23.039817810058594
Orange,high_impact_post_last,180,20.371295928955078,20.391056060791016,0.0197601318359375,29.5859375,29.386049270629883,-0.4270462691783905,-1.0010731220245361,18.744674682617188,19.17472267150879,23.004518508911133
Orange,impact_drop_history_any,1415,12.672933578491211,13.217634201049805,0.5447006225585938,22.812955856323242,22.896821975708008,4.057971954345703,3.4005913734436035,12.731293678283691,13.417957305908203,13.502384185791016
Orange,impact_rise_history_any,1531,12.695616722106934,13.269805908203125,0.5741891860961914,20.05000877380371,20.489421844482422,-5.284219264984131,-5.337160587310791,12.18873405456543,13.497001647949219,14.48873233795166
Alameda,all_eval,1349390,11.08001708984375,11.08201789855957,0.0020008087158203125,20.594072341918945,20.594682693481445,-1.5097461938858032,-1.5044808387756348,10.29360294342041,11.087787628173828,12.298906326293945
Alameda,no_event,1342998,11.0731782913208,11.0731782913208,0.0,20.588315963745117,20.588315963745117,-1.506605625152588,-1.506605625152588,10.283470153808594,11.0789794921875,12.293008804321289
Alameda,history_any,3388,12.39099407196045,13.23538875579834,0.8443946838378906,21.626516342163086,21.870357513427734,-2.0361647605895996,0.18709610402584076,12.868849754333496,13.299663543701172,13.51469612121582
Alameda,post_last_slot,547,13.261178016662598,14.268902778625488,1.0077247619628906,22.935970306396484,23.345827102661133,-2.123279571533203,0.24436336755752563,14.367536544799805,14.474198341369629,14.238398551940918
Alameda,ongoing,384,14.286759376525879,15.213247299194336,0.926487922668457,24.77406883239746,24.906509399414062,-2.0249392986297607,0.5339510440826416,14.155058860778809,14.74826431274414,16.498634338378906
Alameda,high_impact_history_any,803,23.40391731262207,23.370500564575195,-0.033416748046875,33.06128692626953,32.99188232421875,-4.4797043800354,-3.1488630771636963,22.545120239257812,24.019824981689453,23.796552658081055
Alameda,high_impact_post_last,134,24.26769256591797,24.542356491088867,0.27466392517089844,34.64620590209961,35.0518684387207,-4.833396911621094,-3.5687460899353027,26.08582305908203,24.273853302001953,24.839275360107422
Alameda,impact_drop_history_any,1156,12.553646087646484,13.745052337646484,1.19140625,22.03668212890625,22.692554473876953,2.258669853210449,4.683929443359375,13.3027925491333,13.969435691833496,13.595911026000977
Alameda,impact_rise_history_any,1164,14.844245910644531,15.0245943069458,0.18034839630126953,23.900245666503906,23.705625534057617,-7.029853343963623,-4.2755656242370605,14.538020133972168,15.005837440490723,15.999984741210938
ContraCosta,all_eval,1284640,10.676130294799805,10.678046226501465,0.0019159317016601562,19.985336303710938,19.988000869750977,-1.2000236511230469,-1.1969165802001953,9.844881057739258,10.674459457397461,11.96126651763916
ContraCosta,no_event,1280752,10.663728713989258,10.663728713989258,0.0,19.961362838745117,19.961362838745117,-1.2053132057189941,-1.2053132057189941,9.831644058227539,10.660301208496094,11.94448184967041
ContraCosta,history_any,2062,14.914154052734375,16.0836181640625,1.169464111328125,27.1811580657959,28.349855422973633,0.5881659388542175,2.483271837234497,15.096824645996094,15.964296340942383,18.07076644897461
ContraCosta,post_last_slot,328,15.130518913269043,16.433149337768555,1.3026304244995117,28.628358840942383,29.39484977722168,1.1564191579818726,3.038879632949829,16.79993438720703,16.719669342041016,17.387142181396484
ContraCosta,ongoing,229,14.612984657287598,15.787446975708008,1.1744623184204102,27.29149627685547,27.89739227294922,1.653417944908142,3.8544559478759766,15.827901840209961,17.27008056640625,15.385003089904785
ContraCosta,high_impact_history_any,521,29.09249496459961,30.046205520629883,0.9537105560302734,44.25020980834961,46.002532958984375,3.3999507427215576,4.24530029296875,27.47900390625,30.288000106811523,33.46051788330078
ContraCosta,high_impact_post_last,83,31.08513832092285,31.89117431640625,0.8060359954833984,48.11932373046875,48.860618591308594,6.440079689025879,5.879436492919922,31.437482833862305,32.709415435791016,33.33203887939453
ContraCosta,impact_drop_history_any,873,16.899917602539062,18.234394073486328,1.3344764709472656,31.653566360473633,33.478424072265625,5.924575328826904,7.741398811340332,16.79126739501953,18.178098678588867,20.52550506591797
ContraCosta,impact_rise_history_any,677,15.456116676330566,16.204965591430664,0.7488489151000977,24.79692268371582,24.913299560546875,-5.827967643737793,-3.723942518234253,15.4754056930542,15.948779106140137,18.33327865600586
